Muestra,IRRADIANCE [W/m^2],TEMPERATURE [°C],ZENITH [deg],AZIMUTH [deg],ALBEDO,Vmpp,Impp,Pmpp,Fill Factor,Eficiencia
2021_13_10_16_22,925,21,16,-151,0.14,15.46,0.15,2.33,0.75217,2
2021_13_10_16_24,893,21,15,-155,0.14,15.46,0.14,2.09,0.74946,2
2021_13_10_16_27,893,21,15,-155,0.14,15.46,0.13,2.01,0.74796,2
2021_13_10_16_32,876,21,15,-160,0.14,15.46,0.10,1.53,0.73652,1
2021_13_10_16_34,864,21.1,14,-164,0.14,14.97,0.09,1.35,0.73014,1
2021_13_10_16_36,864,21.1,14,-164,0.14,14.47,0.08,1.13,0.73442,1
2021_13_10_16_39,878,21.1,14,-169,0.14,14.47,0.07,0.94,0.73020,1
2021_13_10_16_41,878,21.1,14,-169,0.14,14.46,0.06,0.82,0.71438,1
2021_13_10_16_44,900,21.1,14,-174,0.14,14.47,0.05,0.77,0.69924,0
2021_13_10_16_46,900,21.1,14,-174,0.14,14.47,0.05,0.78,0.70073,1
2021_13_10_16_48,926,21.1,14,-180,0.14,14.47,0.06,0.82,0.71448,1
2021_13_10_16_51,926,21.1,14,-180,0.14,14.47,0.06,0.82,0.71448,1
2021_13_10_16_53,952,21.1,14,175,0.14,14.47,0.06,0.80,0.71250,1
2021_13_10_16_56,952,21.1,14,175,0.14,13.96,0.06,0.77,0.71153,1
2021_13_10_16_58,952,21.1,14,175,0.14,13.96,0.06,0.77,0.70005,1
2021_13_10_17_00,961,21.1,14,170,0.14,13.96,0.06,0.77,0.71112,1
2021_13_10_17_03,964,21.2,14,165,0.14,14.47,0.05,0.78,0.70073,1
2021_13_10_17_05,964,21.2,14,165,0.14,13.97,0.06,0.78,0.70157,1
2021_13_10_17_08,966,21.2,15,160,0.14,13.96,0.06,0.77,0.69965,0
2021_13_10_17_10,966,21.2,15,160,0.14,13.97,0.05,0.74,0.69837,0
2021_13_10_17_12,966,21.2,15,160,0.14,13.96,0.05,0.68,0.70786,1
2021_14_10_06_05,0,13.3,161,-95,0.14,13.96,0.04,0.52,0.68053,0
2021_14_10_06_08,0,13.3,160,-95,0.14,13.96,0.05,0.68,0.69601,0
2021_14_10_06_10,0,13.3,160,-95,0.14,13.96,0.06,0.80,0.69163,0
2021_14_10_06_15,0,13.2,159,-95,0.14,14.97,0.08,1.18,0.71721,1
2021_14_10_06_17,0,13.2,159,-95,0.14,14.46,0.08,1.19,0.73484,1
2021_14_10_06_22,0,13.2,158,-95,0.14,14.97,0.08,1.21,0.71996,1
2021_14_10_06_24,0,13.1,156,-95,0.14,14.97,0.10,1.44,0.72794,1
2021_14_10_06_27,0,13.1,156,-95,0.14,15.46,0.10,1.59,0.72764,1
2021_14_10_06_29,0,13.1,155,-95,0.14,15.46,0.11,1.72,0.73779,1
2021_14_10_06_34,0,13,154,-94,0.14,15.46,0.13,2.04,0.73595,1
2021_14_10_06_36,0,13,154,-94,0.14,15.46,0.15,2.35,0.74199,1
2021_14_10_06_39,0,13,153,-94,0.14,15.46,0.17,2.60,0.74924,2
2021_14_10_06_41,0,13,153,-94,0.14,15.97,0.17,2.70,0.74533,2
2021_14_10_06_44,0,13,151,-94,0.14,15.97,0.20,3.13,0.74544,2
2021_14_10_06_48,0,12.9,150,-94,0.14,15.97,0.24,3.85,0.75195,2
2021_14_10_06_51,0,12.9,150,-94,0.14,15.97,0.25,4.02,0.75128,2
2021_14_10_06_53,0,12.9,149,-94,0.14,15.97,0.28,4.50,0.75030,2
2021_14_10_06_56,0,12.9,149,-94,0.14,15.97,0.32,5.03,0.75200,2
2021_14_10_06_58,0,12.9,149,-94,0.14,15.97,0.33,5.21,0.75595,2
2021_14_10_07_00,0,12.8,148,-94,0.14,15.97,0.35,5.62,0.75070,2
2021_14_10_07_03,0,12.8,147,-94,0.14,15.97,0.38,6.07,0.75720,2
2021_14_10_07_05,0,12.8,147,-94,0.14,16.47,0.39,6.34,0.76434,2
2021_14_10_07_08,0,12.8,145,-94,0.14,16.47,0.36,5.91,0.76038,2
2021_14_10_07_10,0,12.8,145,-94,0.14,15.97,0.35,5.53,0.75307,2
2021_14_10_07_12,0,12.8,145,-94,0.14,15.97,0.37,5.96,0.74997,2
2021_14_10_07_20,0,12.7,143,-94,0.14,16.47,0.50,8.15,0.75145,2
2021_14_10_07_22,0,12.7,143,-94,0.14,16.47,0.53,8.79,0.76646,3
2021_14_10_07_24,0,12.7,142,-94,0.14,16.47,0.52,8.51,0.76366,2
2021_14_10_07_27,0,12.7,142,-94,0.14,16.47,0.56,9.21,0.75393,2
2021_14_10_07_29,0,12.7,140,-94,0.14,16.47,0.63,10.29,0.75965,2
2021_14_10_07_32,0,12.7,140,-94,0.14,16.47,0.63,10.34,0.76295,2
2021_14_10_07_34,0,12.7,139,-94,0.14,16.47,0.63,10.31,0.76541,3
2021_14_10_07_36,0,12.7,139,-94,0.14,16.47,0.57,9.35,0.76755,3
2021_14_10_07_39,0,12.6,138,-94,0.14,16.47,0.56,9.19,0.75519,2
2021_14_10_07_41,0,12.6,138,-94,0.14,16.47,0.61,10.00,0.75589,2
2021_14_10_07_44,0,12.6,137,-94,0.14,16.47,0.59,9.73,0.76685,3
2021_14_10_07_48,0,12.6,135,-94,0.14,15.97,0.49,7.83,0.76214,2
2021_14_10_07_53,0,12.6,134,-95,0.14,15.97,0.46,7.27,0.77389,3
2021_14_10_07_56,0,12.6,134,-95,0.14,15.97,0.39,6.15,0.77460,3
2021_14_10_07_58,0,12.6,134,-95,0.14,15.97,0.36,5.78,0.76923,3
2021_14_10_08_00,0,12.6,133,-95,0.14,15.97,0.36,5.70,0.76969,3
2021_14_10_08_03,0,12.5,132,-95,0.14,15.97,0.37,5.94,0.76597,3
2021_14_10_08_05,0,12.5,132,-95,0.14,15.97,0.41,6.55,0.77369,3
2021_14_10_08_08,0,12.5,130,-95,0.14,15.97,0.37,5.83,0.77640,3
2021_14_10_08_10,0,12.5,130,-95,0.14,15.97,0.33,5.25,0.77080,3
2021_14_10_08_12,0,12.5,130,-95,0.14,15.97,0.33,5.24,0.78320,3
2021_14_10_08_15,0,12.5,129,-95,0.14,15.97,0.33,5.30,0.77443,3
2021_14_10_08_17,0,12.5,129,-95,0.14,15.97,0.31,4.93,0.77797,3
2021_14_10_08_19,0,12.5,128,-95,0.14,15.97,0.30,4.84,0.77944,3
2021_14_10_08_22,0,12.5,128,-95,0.14,15.97,0.29,4.58,0.75465,2
2021_14_10_08_24,0,12.5,127,-95,0.14,15.97,0.32,5.08,0.76820,3
2021_14_10_08_27,0,12.5,127,-95,0.14,15.96,0.32,5.14,0.76759,3
2021_14_10_08_29,0,12.5,125,-95,0.14,15.97,0.32,5.16,0.77454,3
2021_14_10_08_31,0,12.5,125,-95,0.14,15.97,0.31,5.01,0.76155,2
2021_14_10_08_34,0,12.5,124,-95,0.14,15.97,0.32,5.06,0.76658,3
2021_14_10_08_36,0,12.5,124,-95,0.14,15.97,0.33,5.27,0.77254,3
2021_14_10_08_39,0,12.5,123,-95,0.14,16.47,0.33,5.50,0.79446,3
2021_14_10_08_41,0,12.5,123,-95,0.14,16.47,0.33,5.45,0.79668,3
2021_14_10_08_43,0,12.5,122,-95,0.14,16.47,0.33,5.40,0.80207,3
2021_14_10_08_46,0,12.5,122,-95,0.14,16.47,0.34,5.52,0.80031,3
2021_14_10_08_48,0,12.4,120,-95,0.14,16.97,0.34,5.68,0.82123,3
2021_14_10_08_55,0,12.4,119,-95,0.14,16.47,0.35,5.81,0.79492,3
2021_14_10_08_58,0,12.4,119,-95,0.14,16.47,0.35,5.83,0.78386,3
2021_14_10_09_00,0,12.4,118,-95,0.14,16.47,0.36,6.00,0.77680,3
2021_14_10_09_03,0,12.4,117,-95,0.14,16.97,0.38,6.45,0.81682,3
2021_14_10_09_05,0,12.4,117,-95,0.14,17.47,0.39,6.83,0.80614,3
2021_14_10_09_12,0,12.4,116,-95,0.14,17.46,0.41,7.19,0.80376,3
2021_14_10_09_15,0,12.4,114,-96,0.14,17.47,0.42,7.27,0.82455,3
2021_14_10_09_17,0,12.4,114,-96,0.14,16.47,0.43,7.02,0.79673,3
2021_14_10_09_19,0,12.4,113,-96,0.14,16.47,0.43,7.08,0.79933,3
2021_14_10_09_22,0,12.4,113,-96,0.14,16.47,0.43,7.13,0.79790,3
2021_14_10_09_27,0,12.3,112,-96,0.14,16.97,0.46,7.77,0.82268,3
2021_14_10_09_31,0,12.3,111,-96,0.14,17.47,0.49,8.60,0.82676,3
2021_14_10_09_34,0,12.3,109,-96,0.14,17.47,0.51,8.82,0.83610,3
2021_14_10_09_36,0,12.3,109,-96,0.14,17.96,0.51,9.11,0.83583,3
2021_14_10_10_46,0,12.4,92,-97,0.14,12.97,4.34,56.29,0.61600,0
2021_14_10_10_53,4,12.4,90,-98,0.14,12.97,4.50,58.42,0.61736,0
2021_14_10_10_58,4,12.4,90,-98,0.14,12.97,4.30,55.82,0.61627,0
2021_14_10_11_07,26,12.5,87,-98,0.14,14.96,0.84,12.63,0.73396,1
2021_14_10_11_10,39,12.6,86,-98,0.14,13.47,4.70,63.30,0.62156,0
2021_14_10_11_12,39,12.6,86,-98,0.14,14.46,1.14,16.54,0.71699,1
2021_14_10_11_17,51,12.8,85,-98,0.14,14.97,1.00,15.00,0.73114,1
2021_22_09_10_39,0,12.8,94,-89,0.14,15.45,0.74,11.48,0.76021,2
2021_22_09_10_40,0,12.8,94,-89,0.14,15.96,0.74,11.87,0.75003,2
2021_22_09_10_42,0,12.8,94,-89,0.14,15.96,0.87,13.95,0.74588,2
2021_22_09_10_45,0,12.8,93,-89,0.14,15.96,0.86,13.76,0.76717,3
2021_22_09_10_47,0,12.8,93,-89,0.14,15.96,0.84,13.45,0.75367,2
2021_22_09_10_50,0,12.8,92,-89,0.14,16.47,0.88,14.51,0.76016,2
2021_22_09_10_52,0,12.8,92,-89,0.14,16.47,0.91,14.97,0.76342,2
2021_22_09_10_54,0,12.8,90,-89,0.14,16.47,0.96,15.81,0.76182,2
2021_22_09_10_57,0,12.8,90,-89,0.14,16.97,1.07,18.07,0.74657,2
2021_22_09_10_59,0,12.8,90,-89,0.14,16.96,1.69,28.73,0.78778,3
2021_22_09_11_02,5,12.8,89,-89,0.14,16.47,1.66,27.37,0.74705,2
2021_22_09_11_14,37,13.1,85,-90,0.14,16.47,1.87,30.80,0.73431,1
2021_22_09_11_19,51,13.2,84,-90,0.14,15.97,2.17,34.58,0.72213,1
2021_22_09_11_23,66,13.3,83,-90,0.14,15.46,2.74,42.31,0.68229,0
2021_22_09_11_33,97,13.6,80,-90,0.14,14.96,2.03,30.34,0.72825,1
2021_22_09_11_38,114,13.7,79,-90,0.14,15.46,0.92,14.18,0.76419,2
2021_22_09_11_40,114,13.7,79,-90,0.14,15.45,0.68,10.46,0.77157,3
2021_22_09_11_42,114,13.7,79,-90,0.14,15.45,0.49,7.60,0.77848,3
2021_22_09_11_45,132,13.8,78,-90,0.14,15.46,0.33,5.15,0.77342,3
2021_22_09_11_47,132,13.8,78,-90,0.14,15.45,0.25,3.91,0.76019,2
2021_22_09_11_50,156,13.9,77,-91,0.14,15.45,0.27,4.09,0.73326,1
2021_22_09_11_52,156,13.9,77,-91,0.14,15.96,0.41,6.54,0.73979,1
2021_22_09_12_04,230,14.3,73,-91,0.14,16.47,1.13,18.64,0.77377,3
2021_22_09_12_09,250,14.4,72,-91,0.14,16.47,0.70,11.56,0.79164,3
2021_22_09_12_11,250,14.4,72,-91,0.14,16.47,0.62,10.13,0.75467,2
2021_22_09_12_13,269,14.6,71,-91,0.14,16.47,1.06,17.43,0.71117,1
2021_22_09_12_21,291,14.7,69,-91,0.14,15.96,1.96,31.35,0.76059,2
2021_22_09_12_23,314,14.8,68,-92,0.14,15.96,1.49,23.70,0.74578,2
2021_22_09_12_25,314,14.8,68,-92,0.14,15.96,1.55,24.67,0.72632,1
2021_22_09_12_30,333,15,67,-92,0.14,15.96,1.20,19.15,0.73631,1
2021_22_09_12_32,333,15,67,-92,0.14,15.96,1.71,27.24,0.71750,1
2021_22_09_12_56,423,15.6,61,-93,0.14,13.47,4.95,66.68,0.60892,0
2021_22_09_12_59,423,15.6,61,-93,0.14,13.46,4.77,64.26,0.61279,0
2021_22_09_13_06,394,15.9,58,-93,0.14,13.46,4.83,64.96,0.62062,0
2021_22_09_13_08,382,16.1,57,-93,0.14,14.46,1.57,22.76,0.68039,0
2021_22_09_13_15,372,16.3,56,-93,0.14,14.97,1.45,21.63,0.73133,1
2021_22_09_13_18,398,16.4,54,-93,0.14,15.46,1.07,16.54,0.77730,3
2021_22_09_13_20,398,16.4,54,-93,0.14,15.45,0.79,12.24,0.76548,3
2021_22_09_13_22,398,16.4,54,-93,0.14,15.45,0.66,10.18,0.76359,2
2021_22_09_13_25,435,16.6,53,-94,0.14,15.46,0.57,8.84,0.76032,2
2021_22_09_13_27,435,16.6,53,-94,0.14,15.45,0.50,7.65,0.75252,2
2021_22_09_13_30,464,16.8,52,-94,0.14,15.45,0.45,7.00,0.74667,2
2021_22_09_13_32,464,16.8,52,-94,0.14,15.96,0.49,7.77,0.74454,1
2021_22_09_13_34,490,16.9,51,-94,0.14,15.96,0.62,9.85,0.74115,1
2021_22_09_13_41,509,17.1,49,-94,0.14,15.96,1.13,17.96,0.75054,2
2021_22_09_13_44,524,17.3,48,-95,0.14,15.96,1.05,16.77,0.75524,2
2021_22_09_13_53,549,17.6,46,-95,0.14,15.45,1.63,25.25,0.71277,1
2021_22_09_13_56,549,17.6,46,-95,0.14,14.46,4.89,70.67,0.63411,0
2021_22_09_13_58,549,17.6,46,-95,0.14,13.96,4.74,66.20,0.63866,0
2021_22_09_14_26,564,18.3,38,-97,0.14,15.96,0.62,9.88,0.75069,2
2021_22_09_14_28,573,18.4,37,-97,0.14,15.96,0.67,10.74,0.75988,2
2021_22_09_14_30,573,18.4,37,-97,0.14,15.96,0.67,10.63,0.75770,2
2021_22_09_14_35,565,18.4,36,-97,0.14,15.96,0.81,12.86,0.75556,2
2021_22_09_14_38,586,18.5,35,-98,0.14,16.47,0.77,12.75,0.76233,2
2021_22_09_14_40,586,18.5,35,-98,0.14,15.96,0.78,12.37,0.75787,2
2021_22_09_14_43,616,18.6,33,-98,0.14,16.47,1.03,16.90,0.79176,3
2021_22_09_14_45,616,18.6,33,-98,0.14,16.47,0.75,12.40,0.77314,3
2021_22_09_14_47,616,18.6,33,-98,0.14,15.96,0.70,11.14,0.74994,2
2021_22_09_14_52,649,18.7,32,-99,0.14,15.96,0.69,11.00,0.75051,2
2021_22_09_14_55,679,18.8,31,-99,0.14,15.96,0.64,10.18,0.75756,2
2021_22_09_14_57,679,18.8,31,-99,0.14,15.96,0.55,8.81,0.74930,2
2021_22_09_14_59,679,18.8,31,-99,0.14,15.96,2.92,46.62,0.65086,0
2021_22_09_15_04,578,18.9,28,-100,0.14,15.45,2.96,45.69,0.67298,0
2021_22_09_15_09,631,18.9,27,-101,0.14,14.96,2.96,44.22,0.69184,0
2021_22_09_15_11,631,18.9,27,-101,0.14,14.96,2.81,42.04,0.68905,0
2021_22_09_15_14,715,18.9,26,-101,0.14,14.96,2.63,39.40,0.70588,1
2021_22_09_15_16,715,18.9,26,-101,0.14,14.97,2.61,39.03,0.69189,0
2021_22_09_15_19,684,18.9,25,-102,0.14,14.96,2.58,38.64,0.69830,0
2021_22_09_15_21,684,18.9,25,-102,0.14,15.45,1.73,26.74,0.72210,1
2021_22_09_15_24,616,18.9,24,-103,0.14,15.45,1.75,27.05,0.71585,1
2021_22_09_15_26,616,18.9,24,-103,0.14,15.45,1.81,27.90,0.72819,1
2021_22_09_15_31,569,18.9,22,-103,0.14,16.96,0.96,16.25,0.59127,0
2021_22_09_15_33,523,18.9,21,-104,0.14,17.46,0.79,13.86,0.57973,0
2021_22_09_15_36,523,18.9,21,-104,0.14,16.96,0.79,13.38,0.52977,0
2021_22_09_15_43,192,18.9,19,-106,0.14,16.96,0.79,13.45,0.75796,2
2021_22_09_15_45,192,18.9,19,-106,0.14,16.47,0.85,13.97,0.74772,2
2021_22_09_15_48,132,18.9,18,-108,0.14,16.47,0.87,14.36,0.74241,1
2021_22_09_15_50,132,18.9,18,-108,0.14,15.97,0.88,14.07,0.75437,2
2021_22_09_15_53,115,18.8,16,-109,0.14,15.96,0.81,12.99,0.74108,1
2021_22_09_15_55,115,18.8,16,-109,0.14,15.96,0.86,13.68,0.74273,1
2021_22_09_15_57,115,18.8,16,-109,0.14,15.96,0.95,15.15,0.74182,1
2021_22_09_16_00,178,18.9,15,-111,0.14,15.96,0.95,15.11,0.74638,2
2021_22_09_16_02,178,18.9,15,-111,0.14,15.96,0.76,12.05,0.74770,2
2021_22_09_16_05,264,18.9,14,-112,0.14,15.96,0.93,14.91,0.73329,1
2021_22_09_16_07,264,18.9,14,-112,0.14,15.96,1.03,16.50,0.73907,1
2021_22_09_16_09,304,18.9,13,-115,0.14,15.96,0.93,14.78,0.76590,3
2021_22_09_16_17,333,19,12,-117,0.14,16.47,0.85,13.95,0.74694,2
2021_22_09_16_19,470,19.1,11,-121,0.14,16.47,1.01,16.68,0.73262,1
2021_22_09_16_21,470,19.1,11,-121,0.14,15.96,1.06,16.98,0.75336,2
2021_22_09_16_24,632,19.2,10,-124,0.14,15.96,1.05,16.76,0.74956,2
2021_22_09_16_26,632,19.2,10,-124,0.14,15.96,1.09,17.38,0.75139,2
2021_22_09_16_29,601,19.2,9,-129,0.14,15.96,1.12,17.84,0.75425,2
2021_22_09_16_31,601,19.2,9,-129,0.14,15.96,1.09,17.35,0.75218,2
2021_22_09_16_34,505,19.3,8,-135,0.14,15.96,1.05,16.77,0.74991,2
2021_22_09_16_36,505,19.3,8,-135,0.14,15.96,1.13,17.99,0.74006,1
2021_22_09_16_38,379,19.4,7,-143,0.14,16.47,1.00,16.45,0.75584,2
2021_22_09_16_41,379,19.4,7,-143,0.14,16.47,0.87,14.36,0.75927,2
2021_22_09_16_43,248,19.4,6,-152,0.14,16.47,0.77,12.73,0.75660,2
2021_22_09_16_46,248,19.4,6,-152,0.14,16.47,0.70,11.45,0.75123,2
2021_22_09_16_48,185,19.5,6,-163,0.14,16.47,0.68,11.22,0.74408,1
2021_22_09_16_50,185,19.5,6,-163,0.14,16.47,0.72,11.83,0.76151,2
2021_22_09_16_53,145,19.6,6,-175,0.14,16.47,0.59,9.63,0.76797,3
2021_22_09_16_55,145,19.6,6,-175,0.14,16.47,0.50,8.25,0.76472,2
2021_22_09_16_58,145,19.6,6,-175,0.14,16.47,0.46,7.54,0.76357,2
2021_22_09_17_00,120,19.7,6,173,0.14,16.47,0.45,7.43,0.75868,2
2021_22_09_17_03,101,19.7,6,160,0.14,16.47,0.48,7.86,0.75309,2
2021_22_09_17_05,101,19.7,6,160,0.14,16.47,0.51,8.35,0.75558,2
2021_22_09_17_07,101,19.7,6,160,0.14,16.47,0.56,9.19,0.75689,2
2021_22_09_17_10,95,19.8,6,150,0.14,16.47,0.58,9.49,0.75866,2
2021_22_09_17_12,95,19.8,6,150,0.14,16.47,0.59,9.68,0.75371,2
2021_22_09_17_15,98,20,7,141,0.14,16.47,0.61,10.06,0.76081,2
2021_22_09_17_17,98,20,7,141,0.14,16.47,0.59,9.73,0.76227,2
2021_22_09_17_19,208,20.1,8,134,0.14,16.47,0.53,8.79,0.77307,3
2021_22_09_17_22,208,20.1,8,134,0.14,16.47,0.44,7.20,0.78178,3
2021_22_09_17_24,350,20.2,9,128,0.14,16.47,0.36,5.85,0.76452,2
2021_22_09_17_27,350,20.2,9,128,0.14,15.96,0.30,4.79,0.77244,3
2021_22_09_17_29,459,20.3,10,124,0.14,15.96,0.22,3.56,0.77723,3
2021_22_09_17_31,459,20.3,10,124,0.14,15.45,0.15,2.30,0.77023,3
2021_22_09_17_34,559,20.4,11,120,0.14,14.96,0.11,1.57,0.75254,2
2021_22_09_17_36,559,20.4,11,120,0.14,14.96,0.07,1.02,0.73848,1
2021_22_09_17_41,697,20.5,12,117,0.14,13.96,0.03,0.47,0.71296,1
2021_22_09_17_46,842,20.6,13,114,0.14,12.97,0.02,0.22,0.64812,0
2021_23_09_06_08,0,14,160,-70,0.14,13.47,0.03,0.38,0.66603,0
2021_23_09_06_12,0,14,160,-70,0.14,14.46,0.04,0.62,0.68841,0
2021_23_09_06_15,0,14,159,-72,0.14,13.96,0.05,0.75,0.68885,0
2021_23_09_06_17,0,14,159,-72,0.14,14.97,0.06,0.91,0.71954,1
2021_23_09_06_20,0,14,158,-73,0.14,15.46,0.07,1.05,0.71000,1
2021_23_09_06_22,0,14,158,-73,0.14,15.46,0.08,1.21,0.72779,1
2021_23_09_06_25,0,14,157,-74,0.14,14.97,0.09,1.35,0.71989,1
2021_23_09_06_27,0,14,157,-74,0.14,15.45,0.10,1.53,0.73187,1
2021_23_09_06_29,0,14,156,-75,0.14,15.46,0.11,1.72,0.73691,1
2021_23_09_06_32,0,14,156,-75,0.14,15.46,0.12,1.89,0.74079,1
2021_23_09_06_34,0,14,155,-75,0.14,15.97,0.13,2.08,0.74528,2
2021_23_09_06_37,0,14,155,-75,0.14,15.97,0.14,2.28,0.74459,1
2021_23_09_06_39,0,14,153,-76,0.14,15.97,0.16,2.54,0.74571,2
2021_23_09_06_41,0,14,153,-76,0.14,15.97,0.18,2.83,0.74997,2
2021_23_09_06_44,0,14,152,-77,0.14,15.97,0.20,3.13,0.75356,2
2021_23_09_06_46,0,14,152,-77,0.14,15.97,0.21,3.40,0.75292,2
2021_23_09_06_49,0,14,151,-78,0.14,15.97,0.23,3.67,0.75501,2
2021_23_09_06_54,0,14,150,-78,0.14,16.47,0.26,4.23,0.76119,2
2021_23_09_06_56,0,14,150,-78,0.14,16.47,0.27,4.48,0.76071,2
2021_23_09_06_58,0,14,150,-78,0.14,16.47,0.29,4.73,0.76047,2
2021_23_09_07_01,0,14,148,-79,0.14,16.47,0.31,5.02,0.76040,2
2021_23_09_07_03,0,14,147,-79,0.14,16.47,0.33,5.35,0.76307,2
2021_23_09_07_06,0,14,147,-79,0.14,16.47,0.35,5.73,0.76301,2
2021_23_09_07_08,0,14,146,-80,0.14,16.47,0.37,6.14,0.76301,2
2021_23_09_07_10,0,14,146,-80,0.14,16.47,0.40,6.60,0.76279,2
2021_23_09_07_18,0,13.9,144,-81,0.14,16.97,0.49,8.30,0.76558,3
2021_23_09_07_20,0,13.9,144,-81,0.14,16.97,0.52,8.89,0.76844,3
2021_23_09_07_22,0,13.9,144,-81,0.14,16.97,0.56,9.47,0.76723,3
2021_23_09_07_25,0,13.9,142,-81,0.14,16.97,0.60,10.13,0.76654,3
2021_23_09_07_27,0,13.9,142,-81,0.14,16.97,0.64,10.79,0.76575,3
2021_23_09_07_30,0,13.9,141,-81,0.14,16.97,0.67,11.40,0.76811,3
2021_23_09_07_32,0,13.9,141,-81,0.14,16.97,0.70,11.95,0.76817,3
2021_23_09_07_35,0,13.9,140,-82,0.14,16.97,0.73,12.46,0.76837,3
2021_23_09_07_37,0,13.9,140,-82,0.14,16.97,0.76,12.85,0.77116,3
2021_23_09_07_39,0,13.9,139,-82,0.14,16.97,0.77,13.02,0.77192,3
2021_23_09_07_42,0,13.9,139,-82,0.14,16.97,0.77,13.07,0.77269,3
2021_23_09_07_44,0,13.9,137,-82,0.14,16.96,0.76,12.96,0.77217,3
2021_23_09_07_46,0,13.9,137,-82,0.14,16.97,0.75,12.80,0.77320,3
2021_23_09_07_49,0,13.8,136,-83,0.14,16.97,0.74,12.56,0.77406,3
2021_23_09_07_51,0,13.8,136,-83,0.14,16.97,0.72,12.20,0.77318,3
2021_23_09_07_54,0,13.8,135,-83,0.14,16.97,0.70,11.88,0.77416,3
2021_23_09_07_56,0,13.8,135,-83,0.14,16.97,0.67,11.42,0.77441,3
2021_23_09_07_58,0,13.8,135,-83,0.14,16.96,0.66,11.13,0.77318,3
2021_23_09_08_01,0,13.8,134,-83,0.14,16.97,0.64,10.86,0.77400,3
2021_23_09_08_03,0,13.8,133,-84,0.14,16.97,0.61,10.37,0.77380,3
2021_23_09_08_08,0,13.8,131,-84,0.14,16.96,0.61,10.33,0.76659,3
2021_23_09_08_10,0,13.8,131,-84,0.14,16.97,0.64,10.88,0.77111,3
2021_23_09_08_12,0,13.8,131,-84,0.14,16.97,0.62,10.47,0.77945,3
2021_23_09_08_17,0,13.8,130,-84,0.14,16.97,0.60,10.23,0.77100,3
2021_23_09_08_19,0,13.8,129,-84,0.14,16.97,0.59,9.96,0.78502,3
2021_23_09_08_34,0,13.7,125,-85,0.14,17.96,0.50,9.05,0.82566,3
2021_23_09_08_38,0,13.7,124,-85,0.14,16.97,0.60,10.22,0.77596,3
2021_23_09_08_41,0,13.7,124,-85,0.14,16.97,0.61,10.33,0.77630,3
2021_23_09_08_43,0,13.7,123,-85,0.14,16.97,0.62,10.57,0.77578,3
2021_23_09_08_45,0,13.7,123,-85,0.14,16.97,0.67,11.37,0.78574,3
2021_23_09_08_48,0,13.7,121,-86,0.14,16.97,0.62,10.57,0.78155,3
2021_23_09_08_50,0,13.7,121,-86,0.14,16.97,0.71,11.98,0.77315,3
2021_23_09_08_52,0,13.7,121,-86,0.14,16.97,0.82,13.88,0.78381,3
2021_23_09_08_55,0,13.7,120,-86,0.14,16.97,0.92,15.61,0.76494,2
2021_23_09_08_57,0,13.7,120,-86,0.14,16.97,0.98,16.55,0.75939,2
2021_23_09_08_59,0,13.7,120,-86,0.14,16.97,1.01,17.14,0.76066,2
2021_23_09_09_02,0,13.7,119,-86,0.14,16.97,1.04,17.63,0.75580,2
2021_23_09_09_04,0,13.7,118,-86,0.14,16.47,1.17,19.27,0.74785,2
2021_23_09_09_07,0,13.7,118,-86,0.14,16.47,1.31,21.59,0.75073,2
2021_23_09_09_09,0,13.7,116,-86,0.14,16.47,1.37,22.51,0.74953,2
2021_23_09_09_11,0,13.7,116,-86,0.14,16.47,1.41,23.24,0.74887,2
2021_23_09_09_14,0,13.7,115,-87,0.14,16.47,1.44,23.67,0.74740,2
2021_23_09_09_16,0,13.7,115,-87,0.14,16.47,1.49,24.51,0.74757,2
2021_23_09_09_18,0,13.7,114,-87,0.14,16.47,1.55,25.54,0.74580,2
2021_23_09_09_21,0,13.7,114,-87,0.14,16.47,1.61,26.55,0.74539,2
2021_23_09_09_23,0,13.6,113,-87,0.14,16.47,1.67,27.55,0.73600,1
2021_23_09_09_25,0,13.6,113,-87,0.14,16.47,1.72,28.30,0.73845,1
2021_23_09_09_28,0,13.6,111,-87,0.14,16.47,1.71,28.08,0.73750,1
2021_23_09_09_30,0,13.6,111,-87,0.14,16.47,1.83,30.21,0.73885,1
2021_23_09_09_32,0,13.6,111,-87,0.14,15.97,1.87,29.78,0.73323,1
2021_23_09_09_35,0,13.6,110,-87,0.14,15.97,1.90,30.28,0.73081,1
2021_23_09_09_37,0,13.6,110,-87,0.14,15.97,1.92,30.66,0.72518,1
2021_23_09_09_40,0,13.6,109,-87,0.14,15.97,2.14,34.10,0.74782,2
2021_23_09_09_42,0,13.6,109,-87,0.14,15.96,2.29,36.56,0.72577,1
2021_23_09_09_49,0,13.6,107,-88,0.14,15.46,2.15,33.25,0.70056,1
2021_23_09_09_51,0,13.6,107,-88,0.14,15.46,2.12,32.78,0.72880,1
2021_23_09_09_54,0,13.6,105,-88,0.14,15.46,1.81,27.97,0.73839,1
2021_23_09_09_56,0,13.6,105,-88,0.14,15.46,1.63,25.12,0.73918,1
2021_23_09_09_59,0,13.6,105,-88,0.14,15.97,1.43,22.85,0.74536,2
2021_23_09_10_01,0,13.6,104,-88,0.14,15.97,1.30,20.82,0.74692,2
2021_23_09_10_03,0,13.5,103,-88,0.14,15.96,1.23,19.57,0.74794,2
